xi, yi, zi, yawi, xi+1, yi+1, zi+1, yawi+1, vi
-20.522,1.005,-3.087,-210,-34.292,-0.696,-4.622,-230,9
-34.292,-0.696,-4.622,-230,-45.442,6.652,-4.932,-250,7
-45.442,6.652,-4.932,-250,-54.93,16.022,-5.368,-250,7
-54.930,16.022,-5.368,-250,-58.31,30.394,-7.601,-250,7
-58.310,30.394,-7.601,-250,-62.598,42.167,-7.038,-230,7
-62.598,42.167,-7.038,-230,-69.271,57.454,-9.282,-230,6
-69.271,57.454,-9.282,-230,-76.132,67.52,-11.549,-220,7
-76.132,67.52,-11.549,-220,-84.234,76.339,-14.884,-210,6
-84.234,76.339,-14.884,-210,-94.021,84.903,-18.027,-200,6
-94.021,84.903,-18.027,-200,-105.741,91.647,-18.812,-190,7
-105.741,91.647,-18.812,-190,-115.248,96.41,-21.824,-180,7
-115.248,96.41,-21.824,-180,-126.843,97.233,-22.093,-150,6
-126.843,97.233,-22.093,-150,-139.472,97.248,-18.128,-140,5
-139.472,97.248,-18.128,-140,-147.849,91.842,-16.939,-120,6
-147.849,91.842,-16.939,-120,-156.143,81.836,-16.711,-100,6
-156.143,81.836,-16.711,-100,-159.874,71.255,-14.385,-70,7
-159.874,71.255,-14.385,-70,-156.145,55.524,-11.082,-70,5
-156.145,55.524,-11.082,-70,-144.575,42.639,-10.96,-79.999,7
-144.575,42.639,-10.96,-79.999,-138.744,23.798,-9.25,-90,7
-138.744,23.798,-9.25,-90,-134.577,5.016,-10.079,-110,8
-134.577,5.016,-10.079,-110,-137.602,-7.77,-11.239,-110,8
-137.602,-7.77,-11.239,-110,-143.565,-23.546,-9.66,-110,7
-143.565,-23.546,-9.66,-110,-148.46,-39.181,-11.533,-140,7
-148.460,-39.181,-11.533,-140,-153.194,-50.39,-11.364,-170,7
-153.194,-50.39,-11.364,-170,-163.542,-59.127,-11.801,-210,6
-163.542,-59.127,-11.801,-210,-177.571,-57.683,-11.178,-260,5
-177.571,-57.683,-11.178,-260,-184.637,-48.852,-10.276,50,7
-184.637,-48.852,-10.276,50,-181.985,-38.968,-11.909,20,5
-181.985,-38.968,-11.909,20,-174.769,-28.649,-12.852,0,5
-174.769,-28.649,-12.852,0,-165.603,-25.414,-16.741,-10,6
-165.603,-25.414,-16.741,-10,-145.92,-25.065,-16.446,-30,6
-145.920,-25.065,-16.446,-30,-132.637,-30.955,-16.971,-30,8
-132.637,-30.955,-16.971,-30,-119.675,-38.936,-14.641,-30,7
-119.675,-38.936,-14.641,-30,-106.843,-46.181,-14.609,-30,7
-106.843,-46.181,-14.609,-30,-91.404,-53.923,-12.853,0,7
-91.404,-53.923,-12.853,0,-78.105,-60.119,-12.399,0,7
-78.105,-60.119,-12.399,0,-64.808,-60.687,-13.502,0,7
-64.808,-60.687,-13.502,0,-50.481,-58.966,-14.72,-30,7
-50.481,-58.966,-14.72,-30,-32.472,-60.257,-13.93,-80,7
-32.472,-60.257,-13.93,-80,-22.947,-68.893,-12.303,-90,8
-22.947,-68.893,-12.303,-90,-23.595,-84.024,-13.465,-90,7
-23.595,-84.024,-13.465,-90,-23.795,-106.429,-12.511,-140,7
-23.795,-106.429,-12.511,-140,-28.353,-122.832,-12.596,-180,8
-28.353,-122.832,-12.596,-180,-42.827,-130.805,-12.419,-180,7
-42.827,-130.805,-12.419,-180,-62.572,-131.365,-14.772,-190,7
-62.572,-131.365,-14.772,-190,-79.162,-130.06,-14.389,-240,8
-79.162,-130.06,-14.389,-240,-94.741,-121.335,-12.813,90,7
-94.741,-121.335,-12.813,90,-100.772,-106.559,-12.415,90,8
-100.772,-106.559,-12.415,90,-101.311,-90.934,-13.755,90,7
-101.311,-90.934,-13.755,90,-100.57,-75.137,-14.872,90,7
