dy, dz, xi, yi, zi, yawi, xi+1, yi+1, zi+1, yawi+1, vi
0,0,-21.177,-0.428,-4.376,-210,-32.029,-0.602,-3.945,-230,9
39,64,-32.029,-0.602,-3.945,-230,-46.135,8.366,-4.338,-250,6
0,0,-46.135,8.366,-4.338,-250,-54.332,16.636,-3.554,-250,7
-18,67,-54.332,16.636,-3.554,-250,-58.444,30.28,-7.57,-250,6
0,0,-58.444,30.28,-7.57,-250,-62.621,43.865,-6.741,-230,7
-5,64,-62.621,43.865,-6.741,-230,-69.011,57.368,-9.017,-230,7
0,0,-69.011,57.368,-9.017,-230,-77.067,65.233,-12.73,-220,7
11,13,-77.067,65.233,-12.73,-220,-84.767,77.695,-13.615,-210,6
0,0,-84.767,77.695,-13.615,-210,-96.297,85.463,-17.449,-200,7
0,0,-96.297,85.463,-17.449,-200,-105.05,91.299,-21.357,-190,7
9,15,-105.05,91.299,-21.357,-190,-114.993,96.522,-20.835,-180,6
-25,67,-114.993,96.522,-20.835,-180,-126.201,98.055,-21.804,-150,6
1,50,-126.201,98.055,-21.804,-150,-138.74,97.42,-18.032,-140,5
0,0,-138.74,97.42,-18.032,-140,-149.419,92.826,-18.578,-120,7
-30,58,-149.419,92.826,-18.578,-120,-154.743,82.787,-14.661,-100,6
0,0,-154.743,82.787,-14.661,-100,-160.494,71.676,-13.171,-70,6
-51,57,-160.494,71.676,-13.171,-70,-157.909,56.72,-10.48,-70,5
0,0,-157.909,56.72,-10.48,-70,-144.382,41.649,-10.83,-79.999,7
0,0,-144.382,41.649,-10.83,-79.999,-140.049,23.092,-10.846,-90,8
0,0,-140.049,23.092,-10.846,-90,-134.795,5.694,-10.219,-110,8
0,0,-134.795,5.694,-10.219,-110,-136.283,-8.295,-9.447,-110,8
4,65,-136.283,-8.295,-9.447,-110,-142.722,-24.98,-9.887,-110,7
81,26,-142.722,-24.98,-9.887,-110,-146.628,-39.02,-10.256,-140,8
11,68,-146.628,-39.02,-10.256,-140,-152.618,-50.631,-9.523,-170,7
-3,67,-152.618,-50.631,-9.523,-170,-162.947,-57.395,-11.322,-210,7
25,43,-162.947,-57.395,-11.322,-210,-176.963,-56.289,-9.417,-260,5
0,0,-176.963,-56.289,-9.417,-260,-183.542,-47.137,-11.284,50,7
-3,24,-183.542,-47.137,-11.284,50,-182.72,-37.535,-12.175,20,5
16,32,-182.72,-37.535,-12.175,20,-175.638,-30.027,-14.61,0,4
36,5,-175.638,-30.027,-14.61,0,-163.99,-26.956,-15.885,-10,6
-1,47,-163.99,-26.956,-15.885,-10,-147.519,-25.24,-16.283,-30,6
0,0,-147.519,-25.24,-16.283,-30,-131.559,-32.846,-17.222,-30,7
0,0,-131.559,-32.846,-17.222,-30,-120.781,-38.759,-15.16,-30,8
0,0,-120.781,-38.759,-15.16,-30,-106.228,-45.473,-15.336,-30,7
0,0,-106.228,-45.473,-15.336,-30,-91.59,-55.821,-13.715,0,7
114,-41,-91.59,-55.821,-13.715,0,-77.408,-59.538,-12.512,0,8
0,0,-77.408,-59.538,-12.512,0,-65.981,-59.662,-12.806,0,7
1,66,-65.981,-59.662,-12.806,0,-50.645,-60.287,-12.57,-30,6
0,0,-50.645,-60.287,-12.57,-30,-32.279,-59.349,-14.313,-80,7
0,0,-32.279,-59.349,-14.313,-80,-23.602,-69.358,-14.721,-90,8
1,34,-23.602,-69.358,-14.721,-90,-24.234,-86.016,-14.148,-90,7
0,0,-24.234,-86.016,-14.148,-90,-23.733,-108.591,-14.128,-140,7
0,0,-23.733,-108.591,-14.128,-140,-29.891,-123.727,-13.545,-180,9
0,0,-29.891,-123.727,-13.545,-180,-40.901,-130.636,-13.447,-180,7
-9,65,-40.901,-130.636,-13.447,-180,-63.456,-131.194,-12.397,-190,7
0,0,-63.456,-131.194,-12.397,-190,-81.3,-129.415,-14.107,-240,9
0,0,-81.3,-129.415,-14.107,-240,-93.233,-119.66,-13.959,90,8
0,0,-93.233,-119.66,-13.959,90,-98.683,-106.209,-14.094,90,7
0,0,-98.683,-106.209,-14.094,90,-100.213,-92.462,-14.115,90,7
10,63,-100.213,-92.462,-14.115,90,-99.033,-75.303,-15.607,90,7
0,0,-99.033,-75.303,-15.607,90,-100.406,-61.952,-16.971,90,8
8,56,-100.406,-61.952,-16.971,90,-98.85,-44.684,-19.11,90,7
0,0,-98.85,-44.684,-19.11,90,-98.955,-29.693,-21.044,90,8
0,0,-98.955,-29.693,-21.044,90,-100.271,-12.472,-22.291,70,7
0,0,-100.271,-12.472,-22.291,70,-96.244,9.296,-23.152,60,8
0,0,-96.244,9.296,-23.152,60,-87.971,26.011,-24.752,40,9
0,0,-87.971,26.011,-24.752,40,-76.572,37.166,-23.511,30,8
0,0,-76.572,37.166,-23.511,30,-64.876,45.731,-23.009,30,7
0,0,-64.876,45.731,-23.009,30,-54.749,50.727,-20.634,30,7
0,0,-54.749,50.727,-20.634,30,-44.97,58.697,-17.381,10,6
0,0,-44.97,58.697,-17.381,10,-34.048,62.28,-15.1,0,7
0,0,-34.048,62.28,-15.1,0,-18.997,66.578,-12.015,-20,6
0,0,-18.997,66.578,-12.015,-20,-7.175,67.036,-9.846,-50.001,7
0,0,-7.175,67.036,-9.846,-50.001,4.106,60.048,-8.06,-60,5
